aspartic acid,asparagine,serine,glycine,alanine,glutamic acid,glutamine,threonine,proline,valine,tryptophan,isoleucine,leucine,phenylalanine,pyruvate,lactate,phosphorate,n-butylamine,ethanolamine,glycerol,succinate,glycerate,fumarate,cadaverine,malate,4-aminobutyrate,cysteine,a-ketoglutarate,aconitate,putrescine,ribonate,shikimate,citrate,D-fructose,glucose,lysine,tyrosine,gluconate,galactonate,inositol,uric acid,sucrose,trehalose
0.771,0.871,0.776,0.898,0.966,0.478,0.47,0.931,0.951,0.811,1.33,1.03,1.1,1.52,1.16,0.87,1.3,0.998,1.31,1.61,0.746,1.15,0.8,1.09,0.752,0.87,1.02,0.876,1.72,0.603,1,0.746,0.949,0.768,0.97,1.33,1.81,0.957,1.07,1.03,0.757,0.854,1.09
0.761,0.969,0.803,0.914,0.944,0.462,0.479,0.858,0.968,0.823,1.36,1.03,1.12,1.48,1.21,0.87,1.28,1.37,1.29,1.67,0.743,1.16,0.825,1.13,0.781,0.87,1.05,1.27,1.6,0.603,1.02,0.727,1.01,0.743,0.97,1.31,1.81,0.936,1.04,1.03,0.744,0.86,1.11
0.701,0.934,0.782,0.896,0.863,0.481,0.4,0.874,0.981,0.806,1.26,1.09,1.11,1.49,1.17,0.87,1.31,1.07,1.37,1.53,0.768,1.24,0.815,0.964,0.769,0.87,1.05,1.02,1.51,0.63,0.993,0.613,1.01,0.727,0.97,1.31,1.79,0.966,1.06,1.03,0.766,0.873,1.14
0.686,0.953,0.807,0.829,0.715,0.565,0.534,1.01,1.04,0.901,2.14,1.22,1.11,1.84,1.2,1.76,0.878,1,2.12,0.479,1.07,0.921,0.999,0.933,0.713,1.31,1.87,1.18,0.868,0.919,1.02,1.05,1.29,1.1,1.02,1.32,3.72,1.01,0.866,0.787,1.82,1.13,1.07
0.767,0.968,0.875,0.846,0.94,0.575,0.473,1.08,1.04,1.03,2.24,1.14,1.15,1.94,1.33,1.07,0.919,1.03,0.52,0.714,1.21,0.644,1.09,1.06,1.23,0.949,1.27,0.982,0.741,1,0.944,0.786,1.1,1.02,1.01,2.3,4.08,1.01,1,0.826,2.18,1.19,1.04
0.775,0.965,0.906,0.82,0.873,0.569,0.748,0.981,1.06,0.929,2.22,1.21,1.14,1.77,1.33,1.38,0.96,1.12,0.901,1.09,1.08,0.746,1.04,1.06,1.16,1.24,1.6,0.96,1.05,0.896,0.935,0.603,1.07,1.19,1.03,2.29,3.16,1.16,0.95,1.17,0.783,1.07,1.13
0.728,0.966,1,0.972,0.887,0.47,0.625,1.09,0.916,1.09,2.26,1.34,1.27,1.59,0.86,1,0.946,1.05,1.17,0.665,0.77,0.58,0.721,1.07,0.867,1.21,1.61,0.917,0.99,0.821,0.907,0.58,1.52,0.886,1.02,1.85,4.04,1,0.95,0.835,2.63,1.54,0.857
0.778,1.16,1.03,0.945,0.827,0.484,0.653,0.994,0.904,0.965,2.22,1.31,1.46,1.61,0.86,0.97,0.946,1.07,1.19,0.7,0.854,0.58,0.753,1.04,0.926,1.21,1.37,0.785,0.948,0.829,0.955,0.622,1.54,0.889,1.02,1.84,3.53,1,0.95,0.84,2.48,1.5,0.887
0.702,1.28,0.832,0.956,0.863,0.479,0.631,1.01,0.901,0.961,2.22,1.22,1.25,1.61,0.86,0.971,0.952,1.07,1.16,0.685,0.785,0.58,0.743,1.01,0.857,1.21,1.47,0.892,1.01,0.813,0.875,0.618,1.71,0.893,1.03,1.86,3.83,0.972,0.95,0.838,2.66,1.52,0.857
1.1,0.961,0.905,0.788,0.868,0.674,0.733,0.976,0.797,0.968,1.13,1.05,1.2,1.43,0.747,1,1.5,1.06,1.29,1.91,0.593,0.977,0.672,0.929,0.74,0.92,0.898,0.747,1.34,0.949,0.822,0.517,1.32,0.699,0.854,1.39,1.29,0.926,0.906,0.945,1.13,1.07,0.68
1.33,0.867,0.894,0.866,0.938,0.729,0.77,0.981,0.783,0.997,1.13,1.12,1.2,1.31,0.769,0.253,1.25,1.19,1.39,1.87,0.549,0.841,0.703,0.925,0.711,0.82,0.966,1.61,1.48,1.1,0.89,0.526,1.32,0.627,0.88,1.27,0.947,0.852,0.922,0.908,0.984,0.843,0.6
1.27,0.864,0.903,0.838,0.885,0.683,0.733,0.991,0.786,0.999,1.11,1.11,1.2,1.3,0.4,0.962,1.14,0.894,1.14,1.93,0.528,0.857,0.717,0.916,0.719,0.832,0.861,0.884,1.36,0.692,0.897,0.506,1.29,0.684,0.839,1.42,1.5,0.912,0.894,0.874,0.819,0.966,0.686
0.695,0.769,0.808,0.778,0.71,0.53,0.738,0.856,0.917,0.863,1.02,0.909,0.914,0.72,0.436,1.41,1.06,1.19,0.528,1.54,0.294,1.2,0.53,0.736,0.647,0.84,0.775,0.618,1.1,0.823,0.86,0.526,1.06,0.25,0.866,0.753,0.69,0.712,0.779,0.985,0.636,1.25,0.849
0.72,0.599,0.815,0.787,0.71,0.477,0.743,0.967,0.917,0.841,0.985,0.906,0.857,0.706,0.52,0.706,1.23,0.935,0.526,1.42,0.44,1.24,0.54,0.809,0.726,0.722,0.894,0.763,0.806,0.901,0.821,0.522,1.01,0.245,0.847,0.665,0.787,0.731,0.758,1.01,0.569,1.24,0.83
0.715,0.714,0.812,0.787,0.71,0.505,0.785,0.904,0.986,0.848,0.985,0.901,0.906,0.623,0.488,1.02,1.14,1.17,0.518,1.3,0.376,1.16,0.541,0.809,0.642,0.753,0.607,0.875,1.13,0.943,0.802,0.524,1.02,0.236,0.828,0.649,0.773,0.745,0.843,1,0.63,1.11,0.954
0.535,0.987,0.827,0.828,1.34,0.606,0.703,1.15,1.08,0.697,0.391,0.861,0.572,0.29,1.82,6.44,1.9,1.14,0.569,3.54,0.21,1.82,0.254,0.846,1.09,0.9,0.26,0.417,1.08,0.496,0.821,0.324,0.145,0.598,0.333,0.26,0.232,0.36,0.586,2.54,0.922,0.513,0.695
0.473,1.02,0.841,0.816,1.35,0.79,0.703,1.19,1.09,0.691,0.392,0.971,0.592,0.29,1.89,5.89,1.97,1.07,0.627,2.98,0.21,1.61,0.253,0.854,1.24,0.99,0.192,0.507,0.681,0.494,0.829,0.316,0.382,0.625,0.412,0.324,0.261,0.355,0.59,2.4,0.689,0.449,0.756
0.518,0.985,0.844,0.836,1.21,0.734,0.674,1.18,1.09,0.706,0.389,0.925,0.595,0.29,1.97,7.86,1.88,1.02,0.636,2.77,0.21,1.23,0.215,0.875,1.71,0.969,0.296,0.486,0.685,0.499,0.647,0.368,0.457,0.673,0.31,0.349,0.292,0.381,0.524,2.19,0.814,0.504,0.77
0.664,0.845,0.909,1.04,1.33,0.49,0.624,1.04,0.938,0.706,0.406,1.01,0.699,0.526,3.58,4.43,0.772,0.932,0.337,0.85,0.783,1.19,0.981,1.12,0.793,0.96,1.13,1.73,0.316,0.552,0.837,0.748,0.509,1.07,0.632,0.958,0.247,0.531,0.673,1.6,1.88,2.13,0.814
0.629,0.895,0.861,0.934,1.33,0.556,0.646,1.06,0.985,0.713,0.423,1.02,0.715,0.508,4.01,4.17,0.823,0.932,0.308,0.88,0.957,1.67,0.724,1.1,0.842,0.882,0.803,2.42,0.388,0.961,0.845,0.64,0.584,0.887,0.638,0.934,1.04,0.492,0.739,1.65,2.01,2.03,0.768
0.542,0.841,0.903,0.968,1.26,0.567,0.552,0.901,1,0.697,0.43,1.07,0.745,0.511,3.41,2.7,0.871,0.983,0.329,0.87,0.857,1.28,0.893,1.03,0.862,0.888,1.85,1.45,0.408,0.851,0.823,0.68,0.567,0.972,0.609,0.981,0.541,0.526,0.759,1.61,1.92,2.53,0.924
0.271,0.458,0.8,0.853,1.45,0.561,0.307,0.534,0.589,0.367,0.272,0.206,0.25,0.706,3.6,12.4,0.55,1.26,0.26,1.39,1.63,0.664,2.27,0.968,2.32,1.8,1.08,1.82,0.786,0.56,0.806,2.01,0.766,1.52,0.585,0.25,0.159,0.465,0.675,1.63,1.42,9.93,1.4
0.346,0.476,0.8,0.862,1.35,0.635,0.396,0.559,0.632,0.418,0.219,0.167,0.232,0.693,3.67,12.5,0.55,0.97,0.277,1.4,1.6,0.665,2.33,0.942,2.34,1.69,0.376,1.83,0.832,0.544,0.802,1.97,0.782,1.61,0.58,0.248,0.121,0.485,0.795,1.63,1.44,10,1.42
0.274,0.439,0.8,0.873,1.36,0.646,0.348,0.602,0.588,0.431,0.206,0.161,0.207,0.593,3.58,12.3,0.55,1.05,0.254,1.44,1.63,0.735,2.29,0.954,2.33,1.66,0.248,1.83,0.769,0.565,0.786,1.99,0.752,1.51,0.569,0.24,0.137,0.474,0.706,1.59,1.51,9.94,1.44
